Date,NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
2/9/2014,9088,0.1,7.9,1.2,26,FALSE,FALSE
2/10/2014,4336,0,9.8,0,25,FALSE,TRUE
2/11/2014,1220,0,9.8,0,21,FALSE,TRUE
2/12/2014,7113,0,9.8,0,19,FALSE,TRUE
2/13/2014,8271,1.78,11.8,9.5,30,FALSE,TRUE
2/14/2014,5199,0.3,18.1,3,35.5,FALSE,TRUE
2/15/2014,3446,0.13,18.1,1.6,32,FALSE,FALSE
2/16/2014,8414,0,18.1,0,25.5,FALSE,FALSE
2/17/2014,5723,0,16.9,0,25,TRUE,TRUE
2/18/2014,5950,0.16,18.1,1.5,32.5,FALSE,TRUE
2/19/2014,9849,0.26,16.9,0,39.5,FALSE,TRUE
2/20/2014,404,0.03,15,0,44,FALSE,TRUE
2/21/2014,7978,0.09,13,0,42.5,FALSE,TRUE
2/22/2014,7381,0,9.8,0,47,FALSE,FALSE
2/23/2014,8488,0,9.1,0,48.5,FALSE,FALSE
2/24/2014,4087,0,5.9,0,35.5,FALSE,TRUE
2/25/2014,1471,0,5.9,0,28.5,FALSE,TRUE
2/26/2014,1705,0.03,5.9,0.2,25.5,FALSE,TRUE
2/27/2014,7702,0,5.9,0,24,FALSE,TRUE
2/28/2014,4427,0,5.9,0,16.5,FALSE,TRUE
3/1/2014,987,0,5.9,0,28.5,FALSE,FALSE
3/2/2014,9936,0,5.1,0,36,FALSE,FALSE
3/3/2014,8209,0.04,5.1,0.1,24.5,FALSE,TRUE
3/4/2014,553,0,5.1,0,21,FALSE,TRUE
3/5/2014,7818,0,3.9,0,32.5,FALSE,TRUE
3/6/2014,2051,0,3.9,0,23.5,FALSE,TRUE
3/7/2014,540,0,3.9,0,31.5,FALSE,TRUE
3/8/2014,3544,0,3.1,0,46,FALSE,FALSE
3/9/2014,7219,0,2,0,40,FALSE,FALSE
3/10/2014,6412,0,1.2,0,43.5,FALSE,TRUE
3/11/2014,1755,0,0,0,55.5,FALSE,TRUE
3/12/2014,3709,0.35,0,0,44,FALSE,TRUE
3/13/2014,8870,0,0,0,25,FALSE,TRUE
3/14/2014,3126,0,0,0,34,FALSE,TRUE
3/15/2014,3078,0,0,0,50,FALSE,FALSE
3/16/2014,5261,0,0,0,36,FALSE,FALSE
3/17/2014,8704,0,0,0,29,FALSE,TRUE
3/18/2014,4818,0,0,0,35.5,FALSE,TRUE
3/19/2014,3338,0.92,0,0,39,FALSE,TRUE
3/20/2014,761,0,0,0,47,FALSE,TRUE
3/21/2014,9366,0,0,0,45,FALSE,TRUE
3/22/2014,6196,0,0,0,52,FALSE,FALSE
3/23/2014,4777,0,0,0,34.5,FALSE,FALSE
3/24/2014,6426,0,0,0,28,FALSE,TRUE
3/25/2014,8368,0,0,0,32.5,FALSE,TRUE
3/26/2014,7802,0,0,0,30,FALSE,TRUE
3/27/2014,3514,0,0,0,33,FALSE,TRUE
3/28/2014,3959,0.04,0,0,49.5,FALSE,TRUE
3/29/2014,1024,1.81,0,0,51,FALSE,FALSE
3/30/2014,8436,0.35,0,0,44,FALSE,FALSE
3/31/2014,3286,0.16,0,0,46,FALSE,TRUE
4/1/2014,5950,0,0,0,49.5,FALSE,TRUE
4/2/2014,7951,0,0,0,48,FALSE,TRUE
4/3/2014,8850,0.07,0,0,56.5,FALSE,TRUE
4/4/2014,1409,0.21,0,0,43.5,FALSE,TRUE
4/5/2014,5516,0,0,0,47,FALSE,FALSE
4/6/2014,9301,0,0,0,48.5,FALSE,FALSE
4/7/2014,9554,0.52,0,0,48,FALSE,TRUE
4/8/2014,8394,0.34,0,0,55,FALSE,TRUE
4/9/2014,6928,0,0,0,53,FALSE,TRUE
4/10/2014,3887,0,0,0,50,FALSE,TRUE
4/11/2014,943,0,0,0,65.5,FALSE,TRUE
4/12/2014,7161,0,0,0,61.5,FALSE,FALSE
4/13/2014,771,0,0,0,65.5,FALSE,FALSE
4/14/2014,3429,0,0,0,67,FALSE,TRUE
4/15/2014,6527,0.71,0,0,48,FALSE,TRUE
4/16/2014,2588,0.05,0,0,40,FALSE,TRUE
4/17/2014,1837,0,0,0,42,FALSE,TRUE
4/18/2014,8410,0,0,0,42,FALSE,TRUE
4/19/2014,1580,0,0,0,54.5,FALSE,FALSE
4/20/2014,8452,0,0,0,52.5,FALSE,FALSE
4/21/2014,7919,0,0,0,54,FALSE,TRUE
4/22/2014,8320,0.01,0,0,61,FALSE,TRUE
4/23/2014,4267,0,0,0,52.5,FALSE,TRUE
4/24/2014,5831,0,0,0,52,FALSE,TRUE
4/25/2014,6963,0.02,0,0,53.5,FALSE,TRUE
4/26/2014,632,0.92,0,0,56.5,FALSE,FALSE
4/27/2014,2767,0,0,0,53,FALSE,FALSE
4/28/2014,8394,0,0,0,56,FALSE,TRUE
4/29/2014,9984,0.03,0,0,47.5,FALSE,TRUE
4/30/2014,4922,4.97,0,0,46.5,FALSE,TRUE
5/1/2014,7927,0.12,0,0,64.5,FALSE,TRUE
5/2/2014,3869,0,0,0,63,FALSE,TRUE
5/3/2014,9447,0.08,0,0,62.5,FALSE,FALSE
5/4/2014,9715,0.02,0,0,59.5,FALSE,FALSE
5/5/2014,5212,0,0,0,60,FALSE,TRUE
5/6/2014,7783,0,0,0,61.5,FALSE,TRUE
5/7/2014,1431,0,0,0,59.5,FALSE,TRUE
5/8/2014,3179,0.41,0,0,56,FALSE,TRUE
5/9/2014,9370,0.04,0,0,59,FALSE,TRUE
5/10/2014,9414,0.37,0,0,70,FALSE,FALSE
5/11/2014,2178,0.03,0,0,71,FALSE,FALSE
5/12/2014,5502,0,0,0,74.5,FALSE,TRUE
5/13/2014,9578,0,0,0,63,FALSE,TRUE
5/14/2014,2018,0.01,0,0,61.5,FALSE,TRUE
5/15/2014,6184,0.15,0,0,64.5,FALSE,TRUE
5/16/2014,5708,1.54,0,0,63,FALSE,TRUE
5/17/2014,2285,0,0,0,61.5,FALSE,FALSE
5/18/2014,5279,0,0,0,59,FALSE,FALSE
5/19/2014,3400,0,0,0,60.5,FALSE,TRUE
5/20/2014,4224,0,0,0,65.5,FALSE,TRUE
5/21/2014,1659,0,0,0,68.5,FALSE,TRUE
5/22/2014,6264,0.24,0,0,63,FALSE,TRUE
5/23/2014,1265,0.91,0,0,63.5,FALSE,TRUE
5/24/2014,2308,0.4,0,0,63.5,FALSE,FALSE
5/25/2014,7617,0,0,0,67.5,FALSE,FALSE
5/26/2014,5678,0,0,0,76,TRUE,TRUE
5/27/2014,3910,0,0,0,75,FALSE,TRUE
5/28/2014,1045,0,0,0,59,FALSE,TRUE
5/29/2014,1364,0,0,0,58.5,FALSE,TRUE
5/30/2014,1073,0,0,0,65,FALSE,TRUE
5/31/2014,5003,0.05,0,0,65,FALSE,FALSE
6/1/2014,3181,0,0,0,66,FALSE,FALSE
6/2/2014,6093,0,0,0,69.5,FALSE,TRUE
6/3/2014,4455,0.12,0,0,76,FALSE,TRUE
6/4/2014,6841,0,0,0,72.5,FALSE,TRUE
6/5/2014,9249,0.87,0,0,68.5,FALSE,TRUE
6/6/2014,9127,0,0,0,68.5,FALSE,TRUE
6/7/2014,2871,0,0,0,71,FALSE,FALSE
6/8/2014,2619,0,0,0,76,FALSE,FALSE
6/9/2014,7572,1.6,0,0,68,FALSE,TRUE
6/10/2014,7749,0,0,0,71,FALSE,TRUE
6/11/2014,4946,0.02,0,0,65.5,FALSE,TRUE
6/12/2014,9048,0.07,0,0,66.5,FALSE,TRUE
6/13/2014,5363,1.28,0,0,72,FALSE,TRUE
6/14/2014,720,0,0,0,67,FALSE,FALSE
6/15/2014,542,0,0,0,69.5,FALSE,FALSE
6/16/2014,8702,0,0,0,72,FALSE,TRUE
6/17/2014,5834,0,0,0,80,FALSE,TRUE
6/18/2014,1519,0,0,0,82.5,FALSE,TRUE
6/19/2014,4193,0.15,0,0,72.5,FALSE,TRUE
6/20/2014,8279,0,0,0,71.5,FALSE,TRUE
6/21/2014,2180,0,0,0,70,FALSE,FALSE
6/22/2014,9000,0,0,0,71.5,FALSE,FALSE
6/23/2014,4195,0,0,0,73,FALSE,TRUE
6/24/2014,6428,0,0,0,74.5,FALSE,TRUE
6/25/2014,5878,0.08,0,0,77.5,FALSE,TRUE
6/26/2014,1612,0.07,0,0,77.5,FALSE,TRUE
6/27/2014,8125,0,0,0,75,FALSE,TRUE
6/28/2014,7983,0,0,0,76.5,FALSE,FALSE
6/29/2014,415,0,0,0,75.5,FALSE,FALSE
6/30/2014,5044,0,0,0,76.5,FALSE,TRUE
7/1/2014,1354,0,0,0,80.5,FALSE,TRUE
7/2/2014,4726,0.96,0,0,81.5,FALSE,TRUE
7/3/2014,6792,1.78,0,0,78,FALSE,TRUE
7/4/2014,7540,0.14,0,0,69.5,TRUE,TRUE
7/5/2014,9143,0,0,0,72,FALSE,FALSE
7/6/2014,1347,0,0,0,75,FALSE,FALSE
7/7/2014,3076,0.04,0,0,81,FALSE,TRUE
7/8/2014,929,0.39,0,0,81,FALSE,TRUE
7/9/2014,3618,0.09,0,0,79.5,FALSE,TRUE
7/10/2014,982,0,0,0,77.5,FALSE,TRUE
7/11/2014,3422,0,0,0,78.5,FALSE,TRUE
7/12/2014,5918,0,0,0,78,FALSE,FALSE
7/13/2014,621,0.03,0,0,77.5,FALSE,FALSE
7/14/2014,6295,0.46,0,0,78,FALSE,TRUE
7/15/2014,3773,1.3,0,0,79,FALSE,TRUE
7/16/2014,9552,0,0,0,74.5,FALSE,TRUE
7/17/2014,1256,0,0,0,74,FALSE,TRUE
7/18/2014,2771,0,0,0,72.5,FALSE,TRUE
7/19/2014,7260,0,0,0,72,FALSE,FALSE
7/20/2014,6946,0,0,0,73,FALSE,FALSE
7/21/2014,1590,0,0,0,76,FALSE,TRUE
7/22/2014,5257,0,0,0,78.5,FALSE,TRUE
7/23/2014,2125,0.19,0,0,80,FALSE,TRUE
7/24/2014,2226,0,0,0,75,FALSE,TRUE
7/25/2014,9475,0,0,0,74,FALSE,TRUE
7/26/2014,7909,0,0,0,75,FALSE,FALSE
7/27/2014,3332,0.02,0,0,78,FALSE,FALSE
7/28/2014,8438,0.19,0,0,75,FALSE,TRUE
7/29/2014,517,0,0,0,70,FALSE,TRUE
7/30/2014,1409,0,0,0,71.5,FALSE,TRUE
7/31/2014,7780,0,0,0,75,FALSE,TRUE
8/1/2014,7210,0,0,0,77.5,FALSE,TRUE
8/2/2014,6380,0.41,0,0,68.5,FALSE,FALSE
8/3/2014,4328,0.07,0,0,71,FALSE,FALSE
8/4/2014,6198,0,0,0,77,FALSE,TRUE
8/5/2014,6217,0,0,0,80.5,FALSE,TRUE
8/6/2014,1189,0,0,0,76.5,FALSE,TRUE
8/7/2014,8103,0,0,0,74.5,FALSE,TRUE
8/8/2014,6417,0,0,0,74,FALSE,TRUE
8/9/2014,6599,0,0,0,76.5,FALSE,FALSE
8/10/2014,9060,0,0,0,78,FALSE,FALSE
8/11/2014,2213,0,0,0,79,FALSE,TRUE
8/12/2014,616,0.19,0,0,74.5,FALSE,TRUE
8/13/2014,1924,0.53,0,0,75,FALSE,TRUE
8/14/2014,9918,0,0,0,70,FALSE,TRUE
8/15/2014,8945,0,0,0,67,FALSE,TRUE
8/16/2014,2441,0,0,0,70.5,FALSE,FALSE
8/17/2014,5586,0.01,0,0,74,FALSE,FALSE
8/18/2014,8420,0,0,0,72,FALSE,TRUE
8/19/2014,2471,0,0,0,73,FALSE,TRUE
8/20/2014,6208,0,0,0,77,FALSE,TRUE
8/21/2014,9890,0.35,0,0,74,FALSE,TRUE
8/22/2014,2315,0.06,0,0,72,FALSE,TRUE
8/23/2014,9146,0.01,0,0,72,FALSE,FALSE
8/24/2014,6432,0,0,0,72,FALSE,FALSE
8/25/2014,2425,0,0,0,76,FALSE,TRUE
8/26/2014,5564,0,0,0,79.5,FALSE,TRUE
8/27/2014,3299,0,0,0,80,FALSE,TRUE
8/28/2014,3606,0,0,0,74,FALSE,TRUE
8/29/2014,8799,0,0,0,70.5,FALSE,TRUE
8/30/2014,1831,0,0,0,72.5,FALSE,FALSE
8/31/2014,5041,0.62,0,0,81.5,FALSE,FALSE
9/1/2014,8210,0,0,0,81.5,TRUE,TRUE
9/2/2014,2114,0,0,0,84.5,FALSE,TRUE
9/3/2014,6765,0,0,0,79,FALSE,TRUE
9/4/2014,8646,0,0,0,78,FALSE,TRUE
9/5/2014,7678,0,0,0,79.5,FALSE,TRUE
9/6/2014,9777,0.11,0,0,79,FALSE,FALSE
9/7/2014,9859,0,0,0,73,FALSE,FALSE
9/8/2014,599,0,0,0,70,FALSE,TRUE
9/9/2014,4756,0,0,0,68,FALSE,TRUE
9/10/2014,8445,0,0,0,71.5,FALSE,TRUE
9/11/2014,2502,0,0,0,76,FALSE,TRUE
9/12/2014,7387,0,0,0,70,FALSE,TRUE
9/13/2014,9987,0.26,0,0,63.5,FALSE,FALSE
9/14/2014,8839,0,0,0,62,FALSE,FALSE
9/15/2014,9269,0,0,0,63,FALSE,TRUE
9/16/2014,2008,0.37,0,0,64,FALSE,TRUE
9/17/2014,987,0,0,0,64,FALSE,TRUE
9/18/2014,1784,0,0,0,66.5,FALSE,TRUE
9/19/2014,2334,0,0,0,60,FALSE,TRUE
9/20/2014,1663,0,0,0,66,FALSE,FALSE
9/21/2014,6337,0.15,0,0,71,FALSE,FALSE
9/22/2014,9137,0,0,0,63,FALSE,TRUE
9/23/2014,2259,0,0,0,61.5,FALSE,TRUE
9/24/2014,2512,0,0,0,64.5,FALSE,TRUE
9/25/2014,8170,0.32,0,0,60.5,FALSE,TRUE
9/26/2014,2088,0,0,0,67.5,FALSE,TRUE
9/27/2014,3443,0,0,0,71.5,FALSE,FALSE
9/28/2014,5629,0,0,0,74,FALSE,FALSE
9/29/2014,6794,0,0,0,73,FALSE,TRUE
9/30/2014,9721,0,0,0,66.5,FALSE,TRUE
10/1/2014,7600,0.02,0,0,63,FALSE,TRUE
10/2/2014,430,0,0,0,65.5,FALSE,TRUE
10/3/2014,4505,0,0,0,63.5,FALSE,TRUE
10/4/2014,4843,1.18,0,0,60.5,FALSE,FALSE
10/5/2014,6566,0,0,0,53.5,FALSE,FALSE
10/6/2014,2942,0,0,0,59.5,FALSE,TRUE
10/7/2014,9831,0.06,0,0,67,FALSE,TRUE
10/8/2014,9452,0.04,0,0,67.5,FALSE,TRUE
10/9/2014,2399,0,0,0,61.5,FALSE,TRUE
10/10/2014,6973,0,0,0,58,FALSE,TRUE
10/11/2014,6119,0.33,0,0,55,FALSE,FALSE
10/12/2014,935,0,0,0,55.5,FALSE,FALSE
10/13/2014,8885,0.05,0,0,58.5,FALSE,TRUE
10/14/2014,9896,0,0,0,69.5,FALSE,TRUE
10/15/2014,3703,0.69,0,0,73,FALSE,TRUE
10/16/2014,9661,1.11,0,0,66,FALSE,TRUE
10/17/2014,9726,0,0,0,65,FALSE,TRUE
10/18/2014,4113,0,0,0,63,FALSE,FALSE
10/19/2014,6627,0,0,0,50,FALSE,FALSE
10/20/2014,4838,0,0,0,51,FALSE,TRUE
10/21/2014,8033,0.11,0,0,61,FALSE,TRUE
10/22/2014,5212,1.51,0,0,54,FALSE,TRUE
10/23/2014,982,0.61,0,0,51.5,FALSE,TRUE
10/24/2014,1857,0,0,0,57,FALSE,TRUE
10/25/2014,1437,0.01,0,0,58.5,FALSE,FALSE
10/26/2014,9669,0,0,0,58,FALSE,FALSE
10/27/2014,2816,0,0,0,55.5,FALSE,TRUE
10/28/2014,6323,0,0,0,62.5,FALSE,TRUE
10/29/2014,7330,0,0,0,61.5,FALSE,TRUE
10/30/2014,2363,0,0,0,53,FALSE,TRUE
10/31/2014,6356,0.05,0,0,50,FALSE,TRUE
11/1/2014,1553,0.35,0,0,44.5,FALSE,FALSE
11/2/2014,1450,0,0,0,44.5,FALSE,FALSE
11/3/2014,6984,0,0,0,50,FALSE,TRUE
11/4/2014,6925,0,0,0,60.5,FALSE,TRUE
11/5/2014,2108,0,0,0,60,FALSE,TRUE
11/6/2014,7834,0.37,0,0,52.5,FALSE,TRUE
11/7/2014,3708,0,0,0,46.5,FALSE,TRUE
11/8/2014,4465,0,0,0,42,FALSE,FALSE
11/9/2014,5756,0,0,0,51.5,FALSE,FALSE
11/10/2014,5413,0,0,0,52.5,FALSE,TRUE
11/11/2014,6486,0,0,0,56.5,FALSE,TRUE
11/12/2014,2447,0,0,0,56,FALSE,TRUE
11/13/2014,668,0.2,0,0,42,FALSE,TRUE
11/14/2014,2721,0.06,0,0,38.5,FALSE,TRUE
11/15/2014,8265,0,0,0,37.5,FALSE,FALSE
11/16/2014,6453,0.03,0,0,40,FALSE,FALSE
11/17/2014,8359,1.54,0,0,46,FALSE,TRUE
11/18/2014,1462,0,0,0,34.5,FALSE,TRUE
11/19/2014,8706,0,0,0,29,FALSE,TRUE
11/20/2014,4847,0,0,0,38,FALSE,TRUE
11/21/2014,4563,0,0,0,32.5,FALSE,TRUE
11/22/2014,4772,0,0,0,36,FALSE,FALSE
11/23/2014,7832,0,0,0,50,FALSE,FALSE
11/24/2014,2903,0.7,0,0,61,FALSE,TRUE
11/25/2014,5290,0,0,0,59.5,FALSE,TRUE
11/26/2014,7139,1.24,0,0.2,42.5,FALSE,TRUE
11/27/2014,5210,0.02,0,0,36,TRUE,TRUE
11/28/2014,2660,0,0,0,33,TRUE,TRUE
11/29/2014,2882,0,0,0,36,FALSE,FALSE
11/30/2014,9880,0,0,0,50,FALSE,FALSE
12/1/2014,7242,0.09,0,0,53.5,FALSE,TRUE
12/2/2014,9213,0.08,0,0,39,FALSE,TRUE
12/3/2014,2912,0.06,0,0,43.5,FALSE,TRUE
12/4/2014,8363,0,0,0,41,FALSE,TRUE
12/5/2014,7126,0.51,0,0,39,FALSE,TRUE
12/6/2014,3492,1.22,0,0,44.5,FALSE,FALSE
12/7/2014,4503,0.04,0,0,36,FALSE,FALSE
12/8/2014,8818,0,0,0,30.5,FALSE,TRUE
12/9/2014,9653,2.54,0,0,39,FALSE,TRUE
12/10/2014,1556,0.08,0,1,36,FALSE,TRUE
12/11/2014,7700,0.01,1.2,0,34.5,FALSE,TRUE
12/12/2014,8248,0,0,0,35,FALSE,TRUE
12/13/2014,4498,0,0,0,39,FALSE,FALSE
12/14/2014,6833,0,0,0,42,FALSE,FALSE
12/15/2014,980,0,0,0,42.5,FALSE,TRUE
12/16/2014,9968,0.2,0,0,43.5,FALSE,TRUE
12/17/2014,2157,0.02,0,0,48,FALSE,TRUE
12/18/2014,8114,0,0,0,39.5,FALSE,TRUE
12/19/2014,4882,0,0,0,34.5,FALSE,TRUE
12/20/2014,4786,0,0,0,31.5,FALSE,FALSE
12/21/2014,7926,0,0,0,33.5,FALSE,FALSE
12/22/2014,8281,0.04,0,0,39.5,FALSE,TRUE
12/23/2014,9844,0.16,0,0,44.5,FALSE,TRUE
12/24/2014,712,0.8,0,0,51,TRUE,TRUE
12/25/2014,668,0.09,0,0,53,TRUE,TRUE
12/26/2014,9328,0,0,0,45,FALSE,TRUE
12/27/2014,6730,0,0,0,49.5,FALSE,FALSE
12/28/2014,3124,0.1,0,0,48.5,FALSE,FALSE
12/29/2014,980,0,0,0,39,FALSE,TRUE
12/30/2014,5752,0,0,0,31,FALSE,TRUE
12/31/2014,7125,0,0,0,29.5,FALSE,TRUE
1/1/2015,8353,0,0,0,33,TRUE,TRUE
1/2/2015,9793,0,0,0,38.5,FALSE,TRUE
1/3/2015,6657,0.71,0,0,37.5,FALSE,FALSE
1/4/2015,4439,0.3,0,0,48.5,FALSE,FALSE
1/5/2015,9467,0,0,0,35,FALSE,TRUE
1/6/2015,6170,0.05,0,1,20.5,FALSE,TRUE
1/7/2015,9812,0,1.2,0,16,FALSE,TRUE
1/8/2015,6919,0,0,0,14.5,FALSE,TRUE
1/9/2015,8693,0.07,0,1.5,26,FALSE,TRUE
1/10/2015,3576,0,1.2,0,19.5,FALSE,FALSE
1/11/2015,3325,0,1.2,0,27.5,FALSE,FALSE
1/12/2015,735,0.36,0,0,37,FALSE,TRUE
1/13/2015,3416,0,0,0,26.5,FALSE,TRUE
1/14/2015,9249,0,0,0,24,FALSE,TRUE
1/15/2015,9109,0,0,0,30,FALSE,TRUE
1/16/2015,2339,0,0,0,31.5,FALSE,TRUE
1/17/2015,634,0,0,0,24.5,FALSE,FALSE
1/18/2015,2990,2.1,0,0,36.5,FALSE,FALSE
1/19/2015,6909,0,0,0,39,TRUE,TRUE
1/20/2015,9276,0,0,0,36,FALSE,TRUE
1/21/2015,4493,0,0,0,30.5,FALSE,TRUE
1/22/2015,8632,0,0,0,35.5,FALSE,TRUE
1/23/2015,6364,0,0,0,33.5,FALSE,TRUE
1/24/2015,4429,0.72,3.1,3.6,36,FALSE,FALSE
1/25/2015,6182,0,2,0,36.5,FALSE,FALSE
1/26/2015,6129,0.48,2,5.5,26.5,FALSE,TRUE
1/27/2015,1567,0.36,7.9,4.3,25,FALSE,TRUE
1/28/2015,3327,0,7.9,0,25,FALSE,TRUE
1/29/2015,1825,0.02,5.9,0,27.5,FALSE,TRUE
1/30/2015,2352,0.06,7.1,1,28.5,FALSE,TRUE
1/31/2015,8334,0,7.1,0,19.5,FALSE,FALSE
2/1/2015,3263,0.03,5.9,0.3,28,FALSE,FALSE
2/2/2015,4808,1.02,7.1,5,24,FALSE,TRUE
2/3/2015,783,0,7.9,0,19.5,FALSE,TRUE
2/4/2015,3385,0,7.9,0,33.5,FALSE,TRUE
2/5/2015,2147,0,7.9,0,28,FALSE,TRUE
2/6/2015,2057,0,7.9,0,19.5,FALSE,TRUE
2/7/2015,4650,0.02,7.9,0,32.5,FALSE,FALSE
2/8/2015,7839,0,7.9,0,33,FALSE,FALSE
2/9/2015,8086,0.09,7.9,0,27,FALSE,TRUE
2/10/2015,8166,0.01,7.9,0.1,33,FALSE,TRUE
2/11/2015,8247,0,7.9,0,28,FALSE,TRUE
2/12/2015,8574,0,7.9,0,28,FALSE,TRUE
2/13/2015,9907,0,7.9,0,14.5,FALSE,TRUE
2/14/2015,2852,0.02,7.9,0.9,24,FALSE,FALSE
2/15/2015,8074,0,9.1,0,14.5,FALSE,FALSE
2/16/2015,7537,0,9.1,0,12,TRUE,TRUE
2/17/2015,5198,0.14,11.8,3.3,20.5,FALSE,TRUE
2/18/2015,5778,0,9.1,0,26,FALSE,TRUE
2/19/2015,7653,0,9.1,0,17.5,FALSE,TRUE
2/20/2015,7813,0,9.1,0,10.5,FALSE,TRUE
2/21/2015,4081,0.61,9.1,3,22.5,FALSE,FALSE
2/22/2015,3561,0.1,13,1,37.5,FALSE,FALSE
2/23/2015,5996,0,11.8,0,23,FALSE,TRUE
2/24/2015,9332,0,11.8,0,14,FALSE,TRUE
2/25/2015,8175,0,11.8,0,28.5,FALSE,TRUE
2/26/2015,4529,0,11,0,26.5,FALSE,TRUE
2/27/2015,8677,0,11,0,24,FALSE,TRUE
2/28/2015,9221,0,11,0,21,FALSE,FALSE
3/1/2015,1867,0.52,9.8,4.8,27.5,FALSE,FALSE
3/2/2015,4123,0,15,0,33,FALSE,TRUE
3/3/2015,9378,0.67,14.2,1.8,29.5,FALSE,TRUE
3/4/2015,4705,0.25,13,0,40,FALSE,TRUE
3/5/2015,4701,0.76,13,7.5,29.5,FALSE,TRUE
3/6/2015,9431,0,18.9,0,19.5,FALSE,TRUE
3/7/2015,1385,0,18.1,0,28,FALSE,FALSE
3/8/2015,5416,0,16.1,0,43,FALSE,FALSE
3/9/2015,8132,0.01,13,0,47,FALSE,TRUE
3/10/2015,9218,0.46,11,0,46,FALSE,TRUE
3/11/2015,3842,0.01,5.9,0,51.5,FALSE,TRUE
3/12/2015,5059,0,3.9,0,41.5,FALSE,TRUE
3/13/2015,1927,0,2,0,37,FALSE,TRUE
3/14/2015,3713,0.81,1.2,0,45.5,FALSE,FALSE
3/15/2015,3482,0,0,0,40,FALSE,FALSE
3/16/2015,7893,0,0,0,43.5,FALSE,TRUE
3/17/2015,6759,0.02,0,0,45.5,FALSE,TRUE
3/18/2015,5749,0,0,0,34,FALSE,TRUE
3/19/2015,2594,0,0,0,36,FALSE,TRUE
3/20/2015,1350,0.4,0,4.5,33.5,FALSE,TRUE
3/21/2015,3540,0,5.1,0,38,FALSE,FALSE
3/22/2015,4220,0,0,0,35.5,FALSE,FALSE
3/23/2015,6374,0,0,0,30.5,FALSE,TRUE
3/24/2015,6404,0,0,0,35.5,FALSE,TRUE
3/25/2015,902,0.05,0,0,41.5,FALSE,TRUE
3/26/2015,2459,0.32,0,0,52,FALSE,TRUE
3/27/2015,861,0.27,0,0,42.5,FALSE,TRUE
3/28/2015,4143,0,0,0,33,FALSE,FALSE
3/29/2015,6074,0,0,0,35.5,FALSE,FALSE
3/30/2015,5688,0,0,0,45,FALSE,TRUE
3/31/2015,5826,0.17,0,0,41,FALSE,TRUE
4/1/2015,690,0,0,0,41.5,FALSE,TRUE
4/2/2015,7878,0,0,0,54,FALSE,TRUE
4/3/2015,5036,0.04,0,0,61.5,FALSE,TRUE
4/4/2015,8018,0.01,0,0,51,FALSE,FALSE
4/5/2015,8090,0,0,0,51.5,FALSE,FALSE
4/6/2015,1995,0,0,0,52.5,FALSE,TRUE
4/7/2015,9198,0.15,0,0,52,FALSE,TRUE
4/8/2015,5975,0,0,0,41,FALSE,TRUE
4/9/2015,8543,0,0,0,40,FALSE,TRUE
