Date,NumberOfTrips,PRCP,SNWD,SNOW,Temp,Holiday,Weekday
5/12/2015,1212,0,0,0,75,FALSE,TRUE
5/13/2015,1327,0,0,0,61.5,FALSE,TRUE
5/14/2015,4643,0,0,0,61.5,FALSE,TRUE
5/15/2015,5270,0,0,0,65,FALSE,TRUE
5/16/2015,8815,0.3,0,0,66,FALSE,FALSE
5/17/2015,3071,0.02,0,0,73.5,FALSE,FALSE
5/18/2015,3610,0,0,0,67.5,FALSE,TRUE
5/19/2015,2920,0,0,0,69.5,FALSE,TRUE
5/20/2015,9166,0,0,0,60.5,FALSE,TRUE
5/21/2015,5257,0,0,0,57,FALSE,TRUE
5/22/2015,6266,0,0,0,64.5,FALSE,TRUE
5/23/2015,476,0,0,0,59.5,FALSE,FALSE
5/24/2015,6048,0,0,0,68.5,FALSE,FALSE
5/25/2015,7992,0,0,0,74.5,TRUE,TRUE
5/26/2015,4517,0,0,0,77.5,FALSE,TRUE
5/27/2015,9274,0.08,0,0,77.5,FALSE,TRUE
5/28/2015,8457,0,0,0,77.5,FALSE,TRUE
5/29/2015,7531,0,0,0,75,FALSE,TRUE
5/30/2015,1321,0,0,0,76,FALSE,FALSE
5/31/2015,2444,1.46,0,0,72,FALSE,FALSE
6/1/2015,6977,0.72,0,0,54.5,FALSE,TRUE
6/2/2015,7092,0.37,0,0,52.5,FALSE,TRUE
6/3/2015,1237,0,0,0,61,FALSE,TRUE
6/4/2015,3828,0,0,0,59.5,FALSE,TRUE
6/5/2015,3441,0.13,0,0,62.5,FALSE,TRUE
6/6/2015,5392,0.19,0,0,68,FALSE,FALSE
6/7/2015,7583,0,0,0,64.5,FALSE,FALSE
6/8/2015,7644,0.06,0,0,71,FALSE,TRUE
6/9/2015,4030,0.01,0,0,75.5,FALSE,TRUE
6/10/2015,9825,0,0,0,73.5,FALSE,TRUE
6/11/2015,7628,0,0,0,80.5,FALSE,TRUE
6/12/2015,6596,0,0,0,80.5,FALSE,TRUE
6/13/2015,6087,0,0,0,79,FALSE,FALSE
6/14/2015,2784,0.36,0,0,77,FALSE,FALSE
6/15/2015,1358,0.57,0,0,73.5,FALSE,TRUE
6/16/2015,2101,0.27,0,0,72,FALSE,TRUE
6/17/2015,2661,0,0,0,74,FALSE,TRUE
6/18/2015,8771,0,0,0,67.5,FALSE,TRUE
6/19/2015,3560,0,0,0,77.5,FALSE,TRUE
6/20/2015,8486,0,0,0,69.5,FALSE,FALSE
6/21/2015,715,0.64,0,0,79.5,FALSE,FALSE
6/22/2015,1664,0,0,0,78.5,FALSE,TRUE
6/23/2015,9045,0.02,0,0,82.5,FALSE,TRUE
6/24/2015,2013,0,0,0,76,FALSE,TRUE
6/25/2015,8238,0,0,0,74,FALSE,TRUE
6/26/2015,4791,0,0,0,75,FALSE,TRUE
6/27/2015,9676,1.12,0,0,64.5,FALSE,FALSE
6/28/2015,643,0.29,0,0,67.5,FALSE,FALSE
6/29/2015,539,0,0,0,69.5,FALSE,TRUE
6/30/2015,1506,0.04,0,0,75,FALSE,TRUE
7/1/2015,9531,0.39,0,0,75.5,FALSE,TRUE
7/2/2015,5907,0,0,0,74.5,FALSE,TRUE
7/3/2015,8322,0,0,0,74,TRUE,TRUE
7/4/2015,2780,0,0,0,72,FALSE,FALSE
7/5/2015,3208,0,0,0,75.5,FALSE,FALSE
7/6/2015,2528,0,0,0,77.5,FALSE,TRUE
7/7/2015,9154,0.12,0,0,81.5,FALSE,TRUE
7/8/2015,8469,0,0,0,82.5,FALSE,TRUE
7/9/2015,8523,0.3,0,0,73.5,FALSE,TRUE
7/10/2015,2794,0,0,0,78,FALSE,TRUE
7/11/2015,8395,0,0,0,78.5,FALSE,FALSE
7/12/2015,1024,0,0,0,80.5,FALSE,FALSE
7/13/2015,7798,0,0,0,80.5,FALSE,TRUE
7/14/2015,4950,0.42,0,0,77.5,FALSE,TRUE
7/15/2015,2806,0.12,0,0,76.5,FALSE,TRUE
7/16/2015,3250,0,0,0,72,FALSE,TRUE
7/17/2015,3358,0,0,0,74,FALSE,TRUE
7/18/2015,1516,0.32,0,0,78,FALSE,FALSE
7/19/2015,8148,0,0,0,85.5,FALSE,FALSE
7/20/2015,5304,0,0,0,88,FALSE,TRUE
7/21/2015,4601,0,0,0,81.5,FALSE,TRUE
7/22/2015,2091,0,0,0,77,FALSE,TRUE
7/23/2015,8452,0,0,0,77,FALSE,TRUE
7/24/2015,6892,0,0,0,78.5,FALSE,TRUE
7/25/2015,9429,0,0,0,78.5,FALSE,FALSE
7/26/2015,1664,0,0,0,82,FALSE,FALSE
7/27/2015,8848,0.36,0,0,78.5,FALSE,TRUE
7/28/2015,861,0,0,0,85,FALSE,TRUE
7/29/2015,5453,0,0,0,87,FALSE,TRUE
7/30/2015,3759,1.95,0,0,81.5,FALSE,TRUE
7/31/2015,1180,0,0,0,80.5,FALSE,TRUE
8/1/2015,8135,0,0,0,82,FALSE,FALSE
8/2/2015,2776,0,0,0,80,FALSE,FALSE
8/3/2015,6266,0,0,0,82.5,FALSE,TRUE
8/4/2015,9434,0.43,0,0,79,FALSE,TRUE
8/5/2015,3159,0,0,0,79.5,FALSE,TRUE
8/6/2015,8083,0,0,0,75,FALSE,TRUE
8/7/2015,4089,0,0,0,76.5,FALSE,TRUE
8/8/2015,9055,0,0,0,75,FALSE,FALSE
8/9/2015,8147,0,0,0,76.5,FALSE,FALSE
8/10/2015,1978,0,0,0,77,FALSE,TRUE
8/11/2015,9337,1.17,0,0,76,FALSE,TRUE
8/12/2015,3355,0,0,0,78,FALSE,TRUE
8/13/2015,1798,0,0,0,75,FALSE,TRUE
8/14/2015,2523,0,0,0,77.5,FALSE,TRUE
8/15/2015,2954,0,0,0,82.5,FALSE,FALSE
8/16/2015,1601,0,0,0,84.5,FALSE,FALSE
8/17/2015,3090,0,0,0,86.5,FALSE,TRUE
8/18/2015,4968,0.29,0,0,81.5,FALSE,TRUE
8/19/2015,3294,0,0,0,82,FALSE,TRUE
8/20/2015,5006,0.01,0,0,81.5,FALSE,TRUE
8/21/2015,4708,0.32,0,0,79,FALSE,TRUE
8/22/2015,6654,0,0,0,77.5,FALSE,FALSE
8/23/2015,8325,0,0,0,77.5,FALSE,FALSE
8/24/2015,2344,0,0,0,80,FALSE,TRUE
8/25/2015,4435,0,0,0,81.5,FALSE,TRUE
8/26/2015,4191,0,0,0,76,FALSE,TRUE
8/27/2015,3490,0,0,0,74.5,FALSE,TRUE
8/28/2015,1689,0,0,0,72.5,FALSE,TRUE
8/29/2015,2221,0,0,0,77,FALSE,FALSE
8/30/2015,6236,0.13,0,0,81,FALSE,FALSE
8/31/2015,7217,0,0,0,83.5,FALSE,TRUE

